mint,symbol,created_at_utc,complete,pool_address,market_cap_usd_at_snapshot,ath_market_cap_usd
4e1Ns9wRKjf9J6yUcdBGiuJF77BiqKynJu7VzjR6PDEs,DUCK,2026-09-02T13:25:48+00:00,False,JAPsoC2wps6MxT86YWE5PamJectWvsjsd6KifLGk9mwd,2743.6160306460138,5359.396541151959
4mr9dS8X1mDiLqRTzCkRoBNF5aYDevQQL1mQVpoLYGt1,Twins,2026-09-02T13:52:44+00:00,False,8w1zzqY34BxmFPY5H3JcvSqudRs4fCxAjbszGR9bmjPg,2937.0053281926785,9717.242208395239
3GqqTnRegQZtWU7oXQLZbfFHRL4Zh7YhmUcFBc7cP6Ac,HOLD,2026-09-02T13:57:22+00:00,False,5v5EpVQ6C8CBner4kBPZvjxVuMuMKUUtMzEWo8SDZEd8,2767.9403547931033,3813.48517006086
5ZST5QMhC5aetRac7FGwKxzBRNVoQNwyxBNE3vyugSjU,AGOSTINO,2026-09-02T14:00:15+00:00,False,CcEF1gMABmqyNeNtGwQ1h66s5SKcAh8PBLWa6eiNncPF,2769.7269982341018,3782.2721097249378
CyNoLGaaU9nzyJJcogPznGkuZ6HmkekVLgQD8YUwJv9h,AC,2026-09-02T14:05:38+00:00,False,FVJbsK8WPUUpMqt6EPeE3zbuin35nAu8hacGwqSH8xj4,2776.0463235765,6052.21485437916
6g6ZqU7B3DyqzUEWnFvjPNXPgfWQ71RbN6xCb1nmWaH3,super,2026-09-02T14:06:08+00:00,False,A7fpXwBGcMa99HwsNDrycNEFf8K13JrCYjcTwYjbagjJ,2779.226135296237,8549.839929216561
2rm4yvmfsvMZjWYiuNkzvthMzW7sk4FBK77tTfPsjkzN,solanacycle,2026-09-02T14:06:09+00:00,False,7x2ZsjcMC155gobXpEtipMfVgNXFHfuidjtmVZfXqnLg,2780.521902323765,5983.394193138156
26Nn7BE5aAdu1wh1KSsuNkp5T1sM3yy7g1wzBuUgJHaT,SOLANACYCLE,2026-09-02T14:06:50+00:00,False,F9C3Pvyujc7NK5heSPUcGfugqS67bWqJi1Xoa88CQ3Px,2779.836294568255,7767.260989522111
6qh7bZt3kH6nDctTPA6NUAA3o67eYSdxE5DUhnsDMQQ5,PUMP,2026-09-02T14:08:35+00:00,False,ERwQCa5Sf6BDUstKsfKu2dQP5a2DTJnQTzdij5VsrZUp,2927.773213057562,25018.60249248174
Bc7QstTQR94DKEWUPvU33quBd8hckVxwPF7CWMpQF5qt,PUMP,2026-09-02T14:09:59+00:00,False,767RDazpWSqAKPgRYQnj3jdVSGijsnhFcnzxHFUUyi6t,2763.4596496380145,4678.499666183437
4PK2h3sKNUukre8juCQRpwtLngdyQEVC7eC3AQfpAELJ,COIN,2026-09-02T14:10:45+00:00,False,GtupgMKsv3omh5x8GFSBU4w6F2BqhJDBSu6YRZzFYuEK,2780.2423164665797,9409.109182038223
4hMsGMTT4eTeSFWq75y9uMmY6WVTngmWPpGyaqpMiAyv,Pill,2026-09-02T14:12:32+00:00,False,3sdxMQb9kB85zRvLVtsTxAkqUUvBCnt65aosb5nfqmGq,3086.3625007249316,10925.783157499629
